"","abandona","plan_internacional","minutos_dia","llamadas_dia","minutos_noche","llamadas_noche","minutos_internacionales","llamadas_internacionales","reclamos"
"1265","No","no",147,79,162.9,80,10.5,4,1
"1266","No","no",260.8,130,195.6,97,10.1,5,1
"1267","No","no",155.4,127,157.7,128,9,3,0
"1268","No","no",166.2,112,228.1,97,5.4,7,1
"1269","No","no",211.8,115,144.2,96,10.8,7,0
"1270","Yes","no",130.5,114,141.6,114,11,5,4
"1271","No","no",162.7,102,183.3,80,8.7,6,0
"1272","No","yes",237.1,76,271.3,120,7.9,3,1
"1273","No","no",166.2,102,220.2,68,13.2,2,4
"1274","Yes","no",121.7,48,261.6,122,8.3,2,6
"1275","No","no",176.4,62,150.4,138,11.2,2,0
"1276","No","no",67.4,116,281.1,93,11.4,2,2
"1277","Yes","no",229.7,129,192.8,128,9.6,1,1
"1278","No","no",176,118,174.7,71,14.7,7,1
"1279","Yes","no",247.7,77,167.3,82,9.6,7,0
"1280","No","no",115.4,90,245.7,69,13.1,5,2
"1281","Yes","no",112.2,95,260.9,78,13.9,1,0
"1282","No","no",162.6,138,209.7,118,11.5,4,0
"1283","No","no",229.4,107,289.6,95,10.4,6,4
"1284","No","no",139.6,96,95.6,75,15,4,2
"1285","Yes","no",263.8,66,200.1,112,8.4,2,5
"1286","No","no",217.5,123,163.9,99,9,3,4
"1287","No","no",114.3,132,194.7,74,7.5,8,1
"1288","No","no",196.3,108,154.7,87,7.7,3,2
"1289","No","no",253.2,95,142,133,4.4,4,1
"1290","No","no",98,99,254.8,123,10.5,4,0
"1291","No","no",249.4,118,169,116,9.1,3,0
"1292","No","no",129.6,107,297,93,14.5,5,1
"1293","No","no",221.3,106,111.5,80,9.3,7,0
"1294","No","no",220.7,106,206.1,102,12.4,9,1
"1295","No","no",87.6,76,184.6,125,9.2,5,1
"1296","No","no",203.6,61,175.9,97,8.4,3,0
"1297","No","no",213.6,110,229.6,157,8.8,3,2
"1298","No","no",181.6,112,236.3,121,12.9,4,2
"1299","No","no",215.4,123,160.5,89,7.8,6,1
"1300","Yes","no",266.3,90,205,98,14,2,2
"1301","No","no",199.2,111,210.6,84,10.2,2,3
"1302","No","no",115,130,224,61,7.3,4,3
"1303","Yes","no",270.5,69,136,111,9.6,5,1
"1304","No","no",222.2,127,227.4,80,12.9,4,1
"1305","No","no",61.9,78,212.5,110,8.8,2,3
"1306","No","no",141.1,92,136,73,10.8,2,2
"1307","Yes","no",189.2,81,255.8,83,10.6,5,3
"1308","No","no",196,135,153,92,9.8,1,3
"1309","No","no",171.6,119,170.6,114,13.8,4,0
"1310","No","yes",174,123,260.7,98,11.4,3,2
"1311","Yes","no",78.6,106,184.2,111,7.4,5,1
"1312","No","no",200.9,92,249,98,8.9,7,1
"1313","No","no",141.3,123,215.8,96,6.4,2,1
"1314","No","no",235.8,130,63.6,122,7.3,1,2
"1315","No","no",185.1,100,111.6,104,6.3,4,3
"1316","No","no",254.3,113,153.2,69,11.8,2,2
"1317","No","no",183,103,206.4,73,8.7,6,2
"1318","No","no",163.5,80,381.9,147,7.5,5,2
"1319","No","no",207.9,98,109.6,114,7.7,2,2
"1320","No","no",248.6,102,207.2,86,6.1,3,3
"1321","No","no",185.4,105,147.1,110,14.5,4,2
"1322","No","no",197.8,60,168.6,134,8.9,5,1
"1323","Yes","yes",132.1,42,192.6,119,9.1,1,2
"1324","No","no",197.1,117,214,101,9.3,11,0
"1325","No","no",154.6,112,217.4,102,12.6,5,2
"1326","Yes","no",153.1,115,224.3,102,10,1,6
"1327","No","no",211.2,119,220.9,80,6.3,9,2
"1328","Yes","no",96.8,92,210.1,115,10.9,5,2
"1329","No","no",172,145,193.7,100,10.1,9,1
"1330","No","no",141.1,91,254.7,75,8,7,2
"1331","No","no",151.1,121,154.4,91,13.8,2,2
"1332","No","no",209.6,107,172.4,85,7.6,2,3
"1333","No","no",247,109,226.5,90,10.5,4,3
"1334","No","no",221.4,114,247,105,10.8,12,1
"1335","Yes","no",321.3,99,193.6,106,8,4,1
"1336","No","no",243.7,124,189,129,11.3,2,0
"1337","No","no",251.5,85,186.1,71,11.1,6,3
"1338","Yes","yes",236.9,107,241,120,7.3,2,0
"1339","No","no",159.7,79,206.7,116,9.3,3,2
"1340","Yes","yes",148.2,96,134.2,97,9.2,1,4
"1341","No","no",150.9,86,179.9,73,14.7,1,1
"1342","No","no",210.5,101,241.6,125,11.5,2,1
"1343","No","no",170.9,71,159,124,4.1,5,2
"1344","No","no",254.7,80,153.4,60,10.6,8,0
"1345","Yes","no",284.4,89,242.8,91,8.4,8,0
"1346","Yes","no",0,0,167.1,88,6.8,1,4
"1347","Yes","yes",133.7,45,181.9,89,10.7,2,1
"1348","No","no",224.9,117,229.9,97,10.3,3,0
"1349","No","no",151.8,98,266.9,86,11.9,5,1
"1350","No","no",141.4,107,220,99,5.6,3,2
"1351","Yes","no",285.7,124,230.7,140,14.8,7,0
"1352","No","no",58.4,121,159,115,11.9,5,1
"1353","No","no",90.4,105,227.1,115,13.1,4,0
"1354","No","no",114.4,91,250.6,102,11,3,0
"1355","No","no",147.7,103,163.5,102,12.8,3,2
"1356","No","no",302.7,93,193.9,103,13.6,14,3
"1357","No","no",136.1,120,228.2,90,11.3,4,1
"1358","No","no",169.7,84,191.9,83,12.8,6,3
"1359","No","no",227.2,89,243.4,126,14.9,2,0
"1360","Yes","no",217.8,91,277.3,89,10.3,6,1
"1361","No","no",124.2,102,135.7,100,13.1,8,2
"1362","No","no",206.2,76,251.6,96,13.6,2,1
"1363","No","no",132.9,122,160.4,121,9.9,2,3
"1364","No","no",104.9,115,263.4,104,7.7,6,3
"1365","Yes","no",245,97,270.2,124,13.7,8,1
"1366","No","no",184.5,118,180.5,82,11.6,3,1
"1367","No","no",89.5,66,225.1,116,12.3,1,3
"1368","No","yes",235.6,131,170.6,93,8.6,4,1
"1369","No","no",186,127,98.9,63,11.5,6,4
"1370","No","no",223.9,75,150.2,143,7.3,9,1
"1371","No","no",179.5,125,264.5,133,6.6,2,1
"1372","No","no",169.4,102,197.1,93,8.9,5,1
"1373","No","no",118.1,90,225.1,86,8.2,6,1
"1374","Yes","no",112,105,208.9,93,4.1,4,4
"1375","No","no",168.4,129,191.8,95,8.5,7,0
"1376","No","no",214.3,112,333.5,117,11.3,10,0
"1377","Yes","no",245.7,139,285.3,117,4.2,5,4
"1378","No","no",156.6,134,261.7,120,13.4,10,1
"1379","No","yes",142.8,96,193.4,105,8.9,4,1
"1380","No","no",202.4,115,202,127,10.2,2,3
"1381","No","no",116.8,119,217.5,101,12,2,1
"1382","No","no",155.7,110,192.2,98,11,1,1
"1383","No","no",236.1,107,175.4,107,9.1,4,2
"1384","No","no",138.1,113,135.4,118,8.2,2,2
"1385","No","no",51.9,108,223.5,115,10.1,3,3
"1386","No","no",81.3,116,235.7,113,8.9,3,0
"1387","No","no",171.5,98,165.6,125,7.1,3,0
"1388","No","no",126,96,302.8,102,7.6,3,1
"1389","No","yes",197.2,127,204.1,99,9.9,6,4
"1390","No","no",194.1,62,190.4,115,15.3,4,1
"1391","No","no",115.7,105,107.5,91,9.3,6,1
"1392","No","no",157.2,118,226.7,109,8.4,5,3
"1393","Yes","no",269.7,85,214.2,107,4.5,15,3
"1394","No","no",246.4,107,166.4,95,9.1,8,0
"1395","No","no",227.4,121,143.3,82,13,4,1
"1396","No","no",189.8,110,191.3,103,12.2,4,0
"1397","No","yes",188.9,124,197.7,100,11.5,5,4
"1398","No","no",0,0,168.8,95,7.2,4,1
"1399","No","no",110.5,87,243.6,84,11,4,1
"1400","No","no",167.6,116,215.9,94,11.7,2,4
"1401","No","no",132,90,175.8,114,0,0,3
"1402","No","no",167.8,88,155.1,108,11.9,4,0
"1403","No","no",213.4,86,256.6,101,5.7,4,1
"1404","No","no",175.4,120,201.9,93,10.6,1,0
"1405","No","no",82.6,113,163.6,88,9.5,1,3
"1406","Yes","no",143.2,80,233.2,135,8.8,7,4
"1407","No","no",125.5,139,235.8,110,8.9,8,1
"1408","Yes","no",82.3,105,229.6,98,11.8,2,6
"1409","No","no",165.6,104,118.3,77,11.8,3,1
"1410","No","no",183.1,95,248.3,110,8.4,2,0
"1411","No","no",162.1,91,260.4,78,12.2,5,1
"1412","No","no",166.6,84,167.9,115,7.7,6,1
"1413","No","no",135.9,60,210.6,121,9.4,4,1
"1414","No","no",165.7,78,243.3,91,9.8,6,0
"1415","No","no",176.1,90,234.7,134,9.7,4,1
"1416","No","no",142.3,89,203.1,114,9.1,1,0
"1417","No","no",177.6,121,192.9,106,7.6,3,3
"1418","No","no",83.2,74,150.5,79,10.7,7,1
"1419","No","yes",235,101,139.8,106,5.7,7,2
"1420","No","no",105.7,95,180.5,105,6.6,12,2
"1421","Yes","yes",149.4,68,214.5,97,17.9,3,3
"1422","No","no",264.7,81,210.7,102,10.4,7,0
"1423","No","no",160.3,45,261.6,109,5.6,1,1
"1424","No","yes",95.9,117,152.8,132,10.4,3,1
"1425","No","no",140.7,77,252.9,107,11.7,5,0
"1426","No","no",119.7,148,222.3,113,4.6,2,2
"1427","No","no",99.9,84,254.7,90,9.8,7,2
"1428","No","no",250.9,108,148.6,85,9.6,6,2
"1429","No","yes",200.6,117,98.3,95,11.2,5,2
"1430","No","no",209.8,130,233,79,7,7,1
"1431","No","no",198,70,217.9,71,7.6,4,1
"1432","No","no",239.8,107,249.9,110,11.3,5,1
"1433","No","no",164.5,75,252.7,97,11.2,2,0
"1434","No","no",220.9,107,161,74,12.2,2,1
"1435","No","no",112.8,150,178.7,112,13.2,6,2
"1436","Yes","yes",112.6,114,123.5,116,11.1,2,0
"1437","No","no",226.4,117,133.6,82,10.8,7,1
"1438","No","yes",244.9,118,210.8,136,9.7,6,4
"1439","No","no",203.2,99,224.9,112,15.1,6,2
"1440","No","no",136.7,115,188.9,110,8.6,4,0
"1441","No","no",152.6,97,119.1,99,5,10,1
"1442","No","no",274.9,102,245,123,8.8,2,1
"1443","Yes","no",195.7,116,201.1,73,8.3,3,1
"1444","No","yes",204.3,82,139.4,97,9.2,7,1
"1445","No","no",222.3,99,275.6,82,8.9,4,3
"1446","No","no",222.5,104,377.5,114,9.7,2,1
"1447","No","no",128.8,104,147.4,76,10.3,2,2
"1448","No","no",174.3,105,220.8,131,8.3,2,0
"1449","No","no",242.5,110,184.1,86,7.8,3,4
"1450","No","no",221.6,101,167.4,83,12.7,6,4
"1451","No","no",114.3,100,126.3,88,10.9,9,0
"1452","No","no",219.7,137,184.5,113,9.5,2,2
"1453","No","no",144.9,136,252.4,73,12.3,3,2
"1454","No","no",236.5,111,221.1,115,8.1,3,2
"1455","Yes","no",174,80,224.1,87,14.1,7,2
"1456","No","no",109.5,95,258.6,108,6.6,7,1
"1457","No","no",81.6,120,150.9,113,9.9,4,1
"1458","No","no",133.4,113,254.7,129,5.9,4,1
"1459","No","no",137.1,94,238.4,114,8.6,4,1
"1460","No","no",197,88,211.9,104,16.1,8,0
"1461","No","no",198.1,160,182.1,76,9.3,3,3
"1462","No","no",39.5,78,185.8,90,10,6,0
"1463","No","no",199.5,107,83.9,123,8.1,4,2
"1464","No","no",156.8,93,223.3,77,7.6,6,1
"1465","No","no",183.4,85,228,94,9,5,3
"1466","No","no",132.4,120,197.7,84,8.6,2,1
"1467","No","no",63.2,108,184,99,5.1,3,0
"1468","Yes","yes",181.1,59,216.3,106,16.9,4,0
"1469","No","no",117.5,102,194.4,114,4.2,7,3
"1470","No","no",218.7,79,173.8,116,15,1,0
"1471","No","no",207.3,95,115.7,74,5.9,3,1
"1472","No","no",150.6,99,158.7,104,8.1,5,0
"1473","Yes","yes",273.3,66,165.2,84,12,7,1
"1474","No","yes",266.1,120,206.5,103,10.3,4,1
"1475","No","no",112.8,89,249.6,85,16.3,6,0
"1476","No","no",104.7,112,169.4,110,15.8,7,3
"1477","No","no",193.8,62,218.8,95,5.9,4,0
"1478","No","no",168.6,102,194.7,110,9.8,5,1
"1479","No","no",253.2,122,195.3,108,9.7,7,2
"1480","No","no",174.7,92,305.4,98,8.9,2,1
"1481","No","no",87,102,205.8,120,11,5,0
"1482","No","no",204.5,79,190.1,117,14.8,9,2
"1483","No","no",226.5,93,164.4,98,9.4,4,3
"1484","No","yes",234.1,91,282.5,100,10,3,1
"1485","Yes","yes",133.3,106,241.1,123,12.9,2,3
"1486","No","no",133.9,87,193.5,139,15.4,3,1
"1487","No","no",160.2,104,312.5,97,9.7,2,0
"1488","No","no",230.6,94,244,76,11.1,2,0
"1489","No","no",227.4,84,206.1,120,6.3,4,2
"1490","No","no",72.8,120,222.5,91,11.8,2,2
"1491","No","no",196.1,107,211.5,91,7,2,1
"1492","No","no",197.1,110,227.3,106,12.8,3,1
"1493","No","no",219.6,126,154.5,65,9.7,5,1
"1494","Yes","no",153.4,90,153.8,97,12.8,4,4
"1495","No","no",216,85,210.7,109,4.9,10,2
"1496","No","no",222.9,136,191.4,101,10.8,4,0
"1497","No","no",115.9,120,255,90,11.7,6,3
"1498","No","no",189.8,101,172.7,121,10.6,5,1
"1499","No","no",154.7,102,210.2,95,11.1,3,0
"1500","No","no",136.4,104,230.7,86,11.5,1,3
"1501","No","no",170.5,86,162.5,117,12.2,6,1
"1502","No","no",272.4,88,185.5,81,12.7,2,0
"1503","No","no",210,116,168.8,94,5.9,4,8
"1504","No","yes",236.5,94,236.7,117,12.2,3,2
"1505","No","no",153.9,117,280.5,147,8.5,3,2
"1506","No","no",223,120,188.3,125,8.8,5,1
"1507","No","no",252.4,74,248.3,110,10.7,3,2
"1508","No","no",197.9,84,239.8,145,12,6,1
"1509","No","no",152.4,74,252.2,120,6.6,5,3
"1510","No","no",237.4,105,210.3,110,9.2,3,3
"1511","No","no",265.6,82,211.1,113,8.6,2,1
"1512","No","no",197.3,91,171,105,6.7,6,1
"1513","No","no",199.1,100,65.7,91,4.2,1,1
"1514","No","no",233.7,114,212.7,101,12,2,2
"1515","No","no",183.1,99,311.8,121,7,3,1
"1516","No","no",139.4,96,225.2,107,10,5,2
"1517","Yes","no",213.9,112,233.8,97,8.4,3,1
"1518","No","no",207.1,70,194.2,100,12.4,2,1
"1519","No","no",139.7,78,203.6,102,11.3,5,2
"1520","No","no",177.2,91,194.3,113,8.9,3,2
"1521","No","no",169.8,136,214.6,105,9.5,7,2
"1522","No","no",173.5,83,221.6,66,9.7,2,3
"1523","No","no",159.9,100,263.2,109,5.6,4,1
"1524","No","no",115.1,89,212.4,98,11.4,3,2
"1525","No","no",136.8,113,71.1,95,12.5,3,2
"1526","No","no",92.2,108,129.1,73,13.1,6,1
"1527","No","no",243.9,112,213.7,123,13.4,11,2
"1528","No","no",117.1,94,221.3,108,9,2,0
"1529","Yes","no",223.3,99,203,84,4.5,4,0
"1530","No","no",154.8,111,227.3,86,10.6,2,3
"1531","Yes","no",261.4,141,271.8,96,8,6,1
"1532","Yes","yes",46.5,104,167.5,95,9.6,4,4
"1533","Yes","no",149.9,84,171.5,112,11.5,7,0
"1534","Yes","yes",242.2,102,252,96,13.9,5,2
"1535","Yes","no",259.4,99,293.7,78,10.7,6,1
"1536","No","no",222.4,102,237.7,81,12,8,2
"1537","No","no",69.4,79,219.9,102,8.9,5,0
"1538","Yes","yes",156.5,122,158.7,81,11.1,3,4
"1539","Yes","no",61.2,111,197.4,114,13.7,3,5
"1540","No","yes",245.2,112,152.3,116,10.7,5,0
"1541","No","no",102.3,100,199.7,93,15.7,10,3
"1542","No","no",230.9,92,270,87,7.6,4,3
"1543","No","yes",227.4,105,258.2,113,11.9,3,0
"1544","No","no",192.8,68,235.5,105,12.7,6,1
"1545","No","no",162.6,98,141.6,66,8.2,2,1
"1546","No","no",219.4,92,104.1,91,11,1,2
"1547","No","no",137.2,111,182.3,72,14.3,4,1
"1548","No","no",87.7,103,170.6,93,10.5,10,1
"1549","No","no",271.1,80,169.2,105,10.3,5,1
"1550","No","no",103.4,94,227.2,125,14.4,3,1
"1551","No","no",52.2,106,112.3,95,11.4,2,2
"1552","Yes","no",165.4,106,210,93,8.7,3,0
"1553","No","no",147.5,110,135,68,16.4,3,2
"1554","No","no",217.8,93,228.7,70,11.3,7,0
"1555","No","no",235.7,79,220.9,97,13.3,10,1
"1556","No","no",204.5,92,205,103,8.6,5,2
"1557","No","no",178.4,143,259.9,105,9.6,2,0
"1558","No","no",130.1,68,289.4,87,13.5,5,2
"1559","No","no",103.7,100,256.6,102,14.8,4,2
"1560","No","no",239.9,91,217.2,118,5.9,3,2
"1561","No","no",148.4,110,151.5,101,8.9,4,0
"1562","No","no",148.6,106,203.7,86,10,2,2
"1563","No","no",191.1,69,207.5,117,12.9,1,0
"1564","No","no",218.5,76,205.1,121,7.3,4,1
"1565","No","no",97.5,95,288.8,78,0,0,1
"1566","No","no",128.7,126,198.4,132,10.8,5,0
"1567","No","no",236.6,69,209.5,102,9.5,10,2
"1568","No","no",85.9,113,279.6,110,15.6,16,0
"1569","No","no",141.2,96,274.4,101,11.4,2,1
"1570","No","no",194.4,104,230.1,110,11.5,3,0
"1571","No","no",167.6,100,281.4,107,17.3,3,2
"1572","No","no",234.5,134,191.4,72,6.1,4,1
"1573","No","no",154.2,78,253.5,97,10.1,9,1
"1574","No","no",143.2,99,221.6,77,11.6,1,1
"1575","No","yes",216.4,80,185.9,99,12.7,4,1
"1576","No","no",161.9,85,191,131,8.5,2,1
"1577","No","no",118.7,90,172.2,100,10.4,6,3
"1578","No","no",179.1,123,186.7,116,10.2,10,1
"1579","No","no",147.9,97,162.1,80,8.8,5,2
"1580","No","no",209.2,110,109.6,105,16.5,4,2
"1581","No","no",244.3,140,166.8,83,10.6,6,0
"1582","No","no",175.3,96,143.9,76,5.6,11,1
"1583","No","no",150.5,92,271.2,96,9,2,1
"1584","No","no",197.4,73,211.7,73,13.2,2,0
"1585","No","no",163.5,136,253.4,82,12.6,5,1
"1586","Yes","no",236.9,93,309.1,78,11.4,7,2
"1587","No","no",82.3,77,194.7,70,7.2,4,1
"1588","No","no",216,111,227,74,12.7,4,1
"1589","No","yes",180,119,217.1,70,12.4,3,1
"1590","No","no",143.7,55,239.1,95,5.8,6,1
"1591","No","no",198.2,107,129.6,73,11.3,7,1
"1592","No","no",185.6,106,152.1,120,11.1,5,2
"1593","No","no",137.6,108,187.7,126,5.8,10,3
"1594","Yes","yes",273.9,119,255.3,90,10.9,7,1
"1595","No","no",125.3,92,168.2,68,6.3,2,3
"1596","No","no",178.8,102,178.9,65,8.6,4,3
"1597","No","no",214.9,86,170.8,139,8.2,5,0
"1598","No","no",163,93,159,109,15.1,4,2
"1599","No","no",163.8,77,79.3,95,8.8,2,2
"1600","No","no",189.5,113,221.7,93,13.4,3,1
"1601","No","no",155.2,110,261.6,100,4.5,4,0
"1602","Yes","yes",242.3,102,163.1,93,11.3,3,0
"1603","No","yes",254.1,127,196.2,129,8.7,4,3
"1604","No","no",112,90,150.3,83,11.3,4,2
"1605","No","no",115.5,73,114.2,90,13.3,5,3
"1606","No","no",137.1,102,191.4,120,11.1,4,1
"1607","No","no",198.4,113,325.6,99,10.1,3,0
"1608","No","no",132.7,94,154.7,78,12.9,7,3
"1609","No","no",219.6,99,242.7,88,13.8,8,2
"1610","No","no",169.6,96,285.4,83,11.2,4,0
"1611","No","yes",160.4,73,306.6,90,12.6,5,4
"1612","No","no",95,89,200.6,79,11.2,2,0
"1613","No","no",160.1,87,270,107,7,1,2
"1614","No","no",194.6,114,173.4,92,3.8,2,3
"1615","Yes","no",236.4,73,192,94,13.8,4,1
"1616","No","no",157.1,95,280.4,77,7.6,3,2
"1617","No","no",179.8,125,272.8,97,10.9,4,0
"1618","No","yes",148.2,108,259.3,103,11,4,0
"1619","No","no",183.2,103,172.4,109,11.9,6,1
"1620","Yes","no",119.2,88,204.7,119,12.2,6,4
"1621","No","no",224,102,163.1,100,9.6,2,0
"1622","No","no",19.5,149,179.7,111,7.9,1,0
"1623","No","no",184.8,83,133.1,113,9.6,8,1
"1624","No","no",176.3,140,161.9,123,11.3,5,1
"1625","No","no",241.7,115,169.8,122,11.1,2,2
"1626","No","no",224.7,121,290,61,9.8,6,0
"1627","No","no",207.3,115,114.1,83,8.6,4,1
"1628","No","no",196.8,81,132.6,98,12.7,7,2
"1629","No","no",110.9,74,190.5,114,15.8,9,1
"1630","No","no",122.5,145,197.8,71,8,3,2
"1631","No","no",226.9,144,130.2,121,13.2,5,2
"1632","No","no",187,65,238.2,108,10,8,2
"1633","No","no",170.5,113,188,91,11.2,6,0
"1634","No","no",204.8,101,285.7,89,9.5,3,0
"1635","No","no",165.9,114,210.1,120,12,5,2
"1636","Yes","no",154,133,151.9,100,9.5,3,4
"1637","No","no",158.1,104,210,96,8.9,6,1
"1638","No","no",225.2,93,241.8,95,9.1,2,2
"1639","Yes","no",159.4,79,167.8,71,9.7,2,6
"1640","No","no",172.7,95,174.3,99,11.7,1,2
"1641","No","no",222.8,99,202,111,11,3,3
"1642","No","yes",214.1,77,188.9,75,10.1,3,1
"1643","No","no",54.8,92,195.1,125,7.5,3,1
"1644","No","no",134,104,311.1,79,7.3,3,3
"1645","No","no",184.8,74,158.2,95,10.5,6,1
"1646","No","no",283.1,112,261.7,129,11.3,3,3
"1647","Yes","no",291.8,143,151.2,119,9.9,2,0
"1648","No","no",222.7,94,214.8,78,13.5,4,1
"1649","No","no",174.5,79,270.4,110,8.5,5,0
"1650","No","no",68.4,86,171.5,139,10.4,4,0
"1651","No","no",273,78,104.7,114,9.6,2,1
"1652","Yes","yes",225.3,134,139.6,132,17.3,9,1
"1653","No","no",283.2,130,177.7,104,7.2,6,1
"1654","Yes","yes",131.4,78,155.7,103,11.1,2,1
"1655","No","no",89.7,87,165.8,114,10.7,2,1
"1656","No","no",127.1,102,207.7,75,5,3,3
"1657","No","no",105.9,132,281.3,120,10.7,5,1
"1658","No","no",142.3,79,177.5,75,6,11,2
"1659","No","no",191.3,80,246,107,6.4,3,2
"1660","No","no",201.9,93,131.3,92,13.7,5,0
"1661","No","no",247.3,91,143.2,112,14.7,2,3
"1662","No","no",242.2,96,210,108,8.9,1,1
"1663","Yes","yes",127.3,80,173.9,95,13.7,5,5
"1664","No","no",162,104,210.4,83,10.9,7,1
"1665","No","no",179.1,93,165.7,96,10.6,1,2
"1666","No","no",197.4,125,115.6,101,12.3,4,3
"1667","No","no",148.2,82,235.4,79,6.4,4,2
"1668","No","no",193.1,85,129.6,119,10.2,1,0
"1669","No","no",171.7,99,189.6,130,7.8,6,1
"1670","No","no",198.5,123,209.9,130,8.1,10,1
"1671","No","no",121.7,87,266.6,98,12.7,3,1
"1672","No","no",130.2,105,305.4,74,14,6,2
"1673","No","no",203.4,96,173,105,13.7,3,2
"1674","No","no",174.7,83,171.7,80,10.5,8,5
"1675","Yes","yes",241,120,220.2,67,9.9,1,1
"1676","No","no",141.7,95,227.1,71,10.2,3,0
"1677","No","no",134.8,96,161.5,123,7.7,5,2
"1678","No","no",163.1,119,168.2,77,9,10,1
"1679","No","no",145.5,116,273.4,91,8.9,8,1
"1680","Yes","no",329.8,73,267.1,102,10.6,6,0
"1681","No","no",194.5,97,178.3,106,12.7,1,2
"1682","No","no",131.9,93,192.8,105,7.1,4,1
"1683","No","no",150,91,228.1,55,8.5,3,1
"1684","No","no",196.6,93,226,118,12.9,4,2
"1685","No","no",99.7,107,149.4,99,14.1,4,2
"1686","No","no",143.6,88,194,83,10.8,5,3
"1687","No","no",231.9,56,268.5,74,12.3,3,2
"1688","No","no",37.8,80,175,111,14.2,5,3
"1689","No","no",72.8,107,175.3,110,10.5,4,3
"1690","No","no",94.8,89,197.4,65,11.4,5,1
"1691","No","no",221.8,143,221.8,109,12.4,9,1
"1692","Yes","no",269,120,179.3,61,7.3,4,2
"1693","Yes","no",268.3,114,264.6,88,6.3,7,1
"1694","No","no",198.7,127,173.2,124,12.5,5,1
"1695","Yes","no",115.5,75,254.9,98,11.5,7,7
"1696","No","no",202.1,100,291.8,120,13.3,5,2
"1697","No","no",215.6,113,153.8,107,12.4,6,1
"1698","No","no",169.9,107,206.1,79,11.5,2,1
"1699","No","no",201.7,85,286.3,80,6,4,0
"1700","No","no",221.1,133,161.8,84,8.4,3,4
"1701","No","no",218.7,117,192.7,85,9.4,5,2
"1702","Yes","no",293.7,89,178.2,76,11,10,2
"1703","Yes","no",120.3,108,216.4,74,7.7,3,4
"1704","No","no",175.8,96,178,105,11.1,2,2
"1705","Yes","no",278.5,95,120,90,11.6,5,1
"1706","No","no",236.3,105,129,105,7.2,2,3
"1707","No","no",273.8,113,267.6,117,11.7,3,1
"1708","Yes","no",131.1,129,206.9,88,5.6,9,5
"1709","No","no",167.4,83,116.4,110,11.2,3,4
"1710","No","no",197.7,68,181.2,67,10.5,3,3
"1711","No","no",169.5,93,269.8,115,9,7,2
"1712","No","yes",225.2,116,145.8,99,11.7,4,0
"1713","No","no",174.5,73,164.7,116,10.3,5,4
"1714","Yes","no",129.7,84,228.9,87,7.5,3,5
"1715","No","no",200,66,233.7,82,11.4,2,3
"1716","No","no",95.9,87,228.6,109,13.3,4,0
"1717","No","no",152.8,110,147.4,74,9.1,2,1
"1718","No","no",129.9,102,231.4,93,14.3,3,1
"1719","Yes","yes",268.4,85,297.9,84,9.7,8,2
"1720","No","no",188.5,152,179.8,88,15.2,5,2
"1721","No","no",170.6,97,210.7,131,6.1,1,1
"1722","No","no",191.4,124,230.1,76,8.2,3,1
"1723","No","no",75.3,96,193.8,134,12.3,1,1
"1724","No","no",149.8,123,241.4,75,10.9,7,2
"1725","No","no",115.9,87,170.2,77,7.1,4,1
"1726","No","no",128.8,86,282.6,131,14.1,4,2
"1727","No","no",131.7,108,196.1,126,11,5,1
"1728","No","no",101.4,48,259.2,53,12.2,2,1
"1729","No","no",149,104,201.8,76,9.5,5,4
"1730","No","no",96.8,123,166,85,13.4,4,2
"1731","No","no",107.5,121,247.2,131,12.6,3,2
"1732","Yes","no",232.8,95,255.6,104,12.9,7,0
"1733","No","no",121.1,105,222.4,100,8.3,5,3
"1734","No","no",124.3,70,239.5,83,3.5,6,0
"1735","No","no",157.7,101,216.9,99,13.8,3,1
"1736","No","no",124.3,68,157.4,93,14.8,1,0
"1737","Yes","no",286.4,125,191.4,141,6.9,6,1
"1738","No","no",141.7,95,218.5,60,8.8,6,0
"1739","No","no",173,91,300,99,4.8,3,0
"1740","Yes","no",268.7,120,167,140,5.8,1,2
"1741","No","no",218.5,130,118.9,105,9.4,6,0
"1742","No","no",255.3,114,276.6,78,3.7,5,3
"1743","No","no",41.9,124,237.9,55,11.4,5,1
"1744","No","no",260.8,87,131.3,123,5.8,2,1
"1745","No","no",239.4,94,238,132,7.7,3,0
"1746","No","no",226.7,94,188.7,117,10.2,1,0
"1747","Yes","no",179.3,147,248.2,98,13.5,6,1
"1748","No","no",158,110,154.9,132,10,5,1
"1749","No","no",175.7,82,268.4,154,14.1,7,1
"1750","No","no",157.4,107,188.8,102,8.8,3,3
"1751","Yes","no",113.1,74,262.9,126,6.9,2,1
"1752","No","no",182.7,142,218,103,8.8,2,1
"1753","Yes","yes",161.3,83,262,98,14.1,3,0
"1754","No","no",142.5,92,228.9,120,7.5,2,2
"1755","Yes","yes",190.5,108,141.5,111,9.7,2,2
"1756","No","yes",159.3,110,141.2,82,11.9,5,1
"1757","No","yes",153.8,106,117.8,103,9.2,6,1
"1758","No","yes",180.7,127,165.3,114,12,6,2
"1759","No","no",202.7,105,253.9,108,12.1,7,0
"1760","No","no",190.8,100,209.5,108,8.9,6,0
"1761","No","no",205.1,102,259.9,95,9.2,6,2
"1762","No","no",235.6,124,241.2,127,7.7,2,1
"1763","No","no",189.3,77,186,83,7.4,3,0
"1764","No","no",166.9,101,171,106,11.5,1,1
"1765","Yes","no",245.2,87,239.4,91,7.5,4,0
